gpssec acc_x(m/s^2) acc_y(m/s^2) acc_z(m/s^2) gyro_x(rad/s) gyro_y(rad/s)  gyro_z(rad/s)
72478.005775 -0.490479 0.146545 -10.027893 -0.004027 0.002013 -0.002013
72478.016054 -0.523376 0.110657 -10.030884 -0.005369 -0.001342 -0.002517
72478.025787 -0.550293 0.122620 -10.027893 -0.005704 0.000336 -0.003020
72478.036040 -0.520386 0.170471 -10.030884 -0.004698 0.000336 -0.003691
72478.045772 -0.472534 0.197388 -10.066772 -0.002349 -0.000671 0.000336
72478.056026 -0.466553 0.152527 -10.060791 0.001007 0.001678 -0.000671
72478.067136 -0.508423 0.104675 -10.024902 -0.003020 0.002013 -0.004698
72478.079636 -0.532349 0.119629 -10.045837 -0.004027 -0.000336 -0.005033
72478.086064 -0.523376 0.131592 -10.069763 -0.003691 0.000336 -0.002349
72478.096022 -0.490479 0.143555 -10.042847 -0.003691 0.001007 -0.000671
72478.105782 -0.457581 0.152527 -10.015930 -0.005033 0.002013 -0.001007
72478.116034 -0.472534 0.125610 -10.021912 -0.004362 0.003356 -0.001007
72478.125768 -0.490479 0.143555 -10.081726 -0.001342 0.001678 -0.000671
72478.136019 -0.484497 0.173462 -10.081726 -0.000671 0.000671 -0.001007
72478.145753 -0.484497 0.125610 -10.003967 -0.003356 0.000671 -0.001678
72478.156032 -0.472534 0.110657 -10.018921 -0.003020 -0.000503 -0.001342
72478.167118 -0.448608 0.179443 -10.081726 -0.004362 -0.001678 -0.001342
72478.179610 -0.436646 0.182434 -10.057800 -0.006376 0.000336 -0.002349
72478.186046 -0.448608 0.134583 -10.021912 -0.004698 0.000671 -0.001007
72478.196029 -0.487488 0.131592 -10.024902 -0.001007 0.001510 -0.002013
72478.205762 -0.505432 0.158508 -10.039856 -0.002349 0.002349 -0.002013
72478.216018 -0.481506 0.203369 -10.057800 -0.005033 0.001342 -0.003020
72478.225748 -0.439636 0.194397 -10.045837 -0.004698 0.000336 -0.002684
72478.236027 -0.460571 0.140564 -10.033875 -0.004698 0.000671 -0.002013
72478.245760 -0.496460 0.143555 -10.072754 -0.002684 -0.001342 -0.001342
72478.256013 -0.499451 0.164490 -10.075745 -0.001342 0.002013 -0.002684
72478.267099 -0.466553 0.182434 -10.024902 -0.004027 0.001007 -0.003691
72478.279603 -0.442627 0.200378 -10.015930 -0.002349 -0.004027 -0.000671
72478.286026 -0.460571 0.164490 -10.045837 -0.003020 -0.000671 -0.002684
72478.296012 -0.490479 0.164490 -10.066772 -0.000671 -0.000671 -0.002349
72478.305742 -0.517395 0.212341 -10.042847 -0.001007 -0.000336 -0.001342
72478.315996 -0.526367 0.176453 -10.006958 -0.007718 0.001678 -0.000336
72478.325728 -0.505432 0.143555 -10.042847 -0.003691 0.000671 -0.001510
72478.335984 -0.484497 0.194397 -10.087708 -0.001678 0.000671 -0.002684
72478.345738 -0.475525 0.191406 -10.057800 -0.003691 -0.000895 -0.002684
72478.355994 -0.484497 0.152527 -10.021912 -0.005033 -0.002461 -0.003356
72478.367079 -0.511414 0.143555 -10.036865 -0.003691 -0.004027 -0.002684
72478.379583 -0.532349 0.152527 -10.051819 -0.001007 0.000671 -0.002349
72478.386006 -0.505432 0.170471 -10.045837 -0.001678 0.004027 -0.001678
72478.395990 -0.466553 0.173462 -10.033875 -0.003020 0.002684 -0.001007
72478.405724 -0.463562 0.113647 -10.033875 -0.003020 0.001342 -0.000671
72478.416002 -0.490479 0.092712 -10.069763 -0.003356 0.000336 -0.002349
72478.425736 -0.517395 0.125610 -10.060791 -0.004362 0.001342 -0.000336
72478.435988 -0.505432 0.152527 -9.997986 -0.006376 0.002013 -0.000336
72478.445720 -0.460571 0.182434 -10.009949 -0.001678 0.002013 -0.000336
72478.455974 -0.442627 0.164490 -10.054810 -0.001007 0.001678 0.000000
72478.467061 -0.454590 0.113647 -10.060791 -0.001678 0.001678 0.000336
72478.479568 -0.472534 0.155518 -10.054810 -0.001678 0.000671 -0.003691
72478.485986 -0.478516 0.155518 -10.045837 -0.006040 -0.000671 -0.004027
72478.495971 -0.481506 0.104675 -10.042847 -0.004362 -0.002013 -0.001007
72478.505704 -0.466553 0.143555 -10.075745 -0.003020 -0.000671 -0.001007
72478.515983 -0.445618 0.170471 -10.081726 -0.004027 0.000671 -0.000336
72478.525716 -0.442627 0.125610 -10.060791 -0.002684 0.004362 0.000336
72478.535972 -0.466553 0.125610 -10.045837 -0.001678 0.001342 -0.003691
72478.545703 -0.499451 0.149536 -10.024902 -0.005369 -0.001678 -0.002684
72478.555980 -0.490479 0.164490 -10.042847 -0.000671 0.000336 -0.001678
72478.567066 -0.457581 0.206360 -10.069763 -0.001846 -0.001007 -0.004027
72478.579537 -0.460571 0.173462 -10.033875 -0.003020 -0.001007 -0.003020
72478.585968 -0.472534 0.116638 -10.030884 -0.005369 -0.000419 -0.003691
72478.595977 -0.496460 0.128601 -10.075745 -0.005369 0.000168 -0.001678
72478.605710 -0.496460 0.170471 -10.069763 -0.005369 0.000755 -0.002349
72478.615964 -0.466553 0.191406 -10.027893 -0.003691 0.001342 -0.001342
72478.625696 -0.454590 0.173462 -10.015930 -0.001678 0.002349 -0.003020
72478.635976 -0.472534 0.122620 -10.042847 -0.003020 -0.000671 -0.002684
72478.645708 -0.490479 0.143555 -10.084717 -0.003020 -0.000336 -0.001678
72478.655961 -0.514404 0.185425 -10.060791 -0.003020 -0.000336 -0.000671
72478.667046 -0.520386 0.128601 -10.003967 -0.003356 -0.000336 0.000336
72478.679544 -0.493469 0.128601 -10.042847 -0.004027 0.003020 -0.002349
72478.685974 -0.460571 0.200378 -10.102661 -0.003356 0.002013 -0.002013
72478.695960 -0.445618 0.170471 -10.069763 -0.002684 0.000671 -0.001342
72478.705692 -0.454590 0.158508 -10.045837 -0.001007 0.000336 -0.000671
72478.715944 -0.493469 0.170471 -10.060791 -0.004698 0.000671 -0.002013
72478.725704 -0.526367 0.143555 -10.054810 -0.006711 0.002013 -0.002349
72478.735956 -0.484497 0.191406 -10.045837 -0.003020 0.002349 -0.000671
72478.745688 -0.448608 0.221313 -10.036865 -0.000336 -0.001678 -0.002013
72478.755942 -0.475525 0.149536 -10.036865 -0.004027 -0.000671 0.000336
72478.767028 -0.487488 0.116638 -10.057800 -0.006040 -0.001007 -0.002684
72478.779525 -0.499451 0.152527 -10.066772 -0.003020 0.000336 -0.004362
72478.785953 -0.493469 0.161499 -10.054810 -0.003691 0.002349 0.000336
72478.795939 -0.445618 0.197388 -10.051819 -0.004027 0.001342 0.001342
72478.805698 -0.430664 0.194397 -10.024902 -0.004698 -0.000671 -0.001678
72478.815951 -0.463562 0.137573 -10.030884 -0.002349 0.003020 -0.007047
72478.825684 -0.502441 0.155518 -10.087708 -0.001678 -0.000671 -0.005704
72478.835938 -0.514404 0.164490 -10.057800 -0.001007 -0.001007 -0.003691
